1.txt	试 驾 长 城 c 3 0 感 评 价 否 力 样 昨 天 4 s 店 试 驾 长 城 c 3 0 总 结 1 感 受 坐 驾 驶 位 前 视 野 开 阔 座 椅 软 感 觉 座 椅 点 高 头 快 碰 驾 驶 室 顶 1 挡 步 平 缓 换 入 2 挡 稍 力 踩 油 门 感 觉 油 门 点 软 油 门 踩 过 会 才 油 反 应 感 觉 延 迟 论 坛 说 c 3 0 发 动 机 较 肉 天 1 试 确 实 情 况 换 5 挡 将 速 度 提 1 2 0 感 觉 时 间 点 长 车 身 倒 挺 稳 风 燥 动 静 较 掉 头 时 候 感 觉 c 3 0 方 盘 轻 车 身 倾 斜 度 点 大 车 过 减 速 带 时 候 感 觉 颠 厉 害 应 减 震 点 硬 总 说 呢 c 3 0 较 适 合 市 区 跑 速 度 会 太 快 太 快 前 试 驾 过 海 马 m 3 感 觉 动 力 略 胜 1 筹 加 速 性 油 门 轻 1 踩 就 反 应 较 快 提 速 1 2 0 迈 轻 松 c 3 0 1 样 车 身 稳 风 燥 知 道 大 家 c 3 0 动 力 性 舒 适 性 啊 知 道 试 驾 台 车 年 头 久 哎 纠 结 款 车 都 优 势 知 道 选 较 
5.txt	1 8 万 买 2 0 1 3 款 雪 铁 龙 c 5 2 0 l 动 尊 享 版 值 值 1 8 万 买 2 0 1 3 款 雪 铁 龙 c 5 2 0 l 动 尊 享 版 值 值 2 0 1 3 年 0 6 月 2 9 日 东 雪 4 s 店 车 本 冲 c 4 l 1 8 l 动 劲 智 版 早 电 话 4 s 店 问 没 版 本 试 驾 车 4 s 说 1 8 l 动 劲 驰 版 觉 反 正 就 试 驾 本 想 天 午 4 s 试 驾 1 等 午 兴 冲 冲 地 跑 4 s 店 问 试 驾 车 事 宜 店 员 回 答 车 经 理 开 出 开 会 知 道 什 时 候 能 回 说 1 6 t 劲 享 试 驾 就 试 驾 车 说 实 话 动 力 挑 剔 级 中 较 较 喜 欢 1 8 动 劲 智 问 价 格 1 8 l 动 劲 智 低 低 能 做 1 7 2 万 包 牌 包 保 险 实 款 价 格 心 里 准 备 表 示 能 接 受 要 先 试 驾 车 没 见 过 想 买 车 内 饰 见 过 带 t 1 6 排 量 遂 边 谈 价 格 边 旁 边 c 5 家 旁 边 c 5 觉 c 5 较 大 气 空 间 大 想 试 驾 1 c 5 试 驾 要 紧 1 试 驾 家 都 铁 心 觉 c 5 c 4 l 爽 多 主 要 1 点 舒 适 问 价 格 店 员 说 2 0 动 尊 享 版 包 牌 包 保 险 1 9 万 样 就 徘 徊 2 车 间 1 1 7 2 万 1 1 9 5 万 差 2 万 多 点 对 等 工 薪 阶 层 说 2 万 点 难 实 对 本 开 市 区 开 喜 欢 c 4 l 车 灵 活 c 5 感 觉 车 大 找 停 车 位 都 找 考 虑 家 里 没 辆 b 级 车 过 年 回 老 家 走 高 速 老 要 开 前 开 迪 车 车 估 计 少 知 道 气 派 c 5 更 能 满 足 家 庭 需 要 权 衡 3 家 商 量 就 要 c 5 接 整 午 就 店 员 谈 价 格 砍 2 时 砍 1 9 万 然 磨 磨 磨 磨 1 8 5 万 满 足 销 售 店 员 没 办 法 级 经 理 请 1 谈 经 理 1 解 情 况 知 道 真 心 要 买 车 降 1 千 1 8 4 万 知 道 戏 开 始 软 硬 兼 施 磨 价 格 包 牌 包 保 险 1 8 万 送 东 西 原 厂 雷 朋 防 爆 膜 地 毯 挡 泥 板 头 枕 抱 枕 方 盘 锁 g p s 导 航 带 倒 车 影 像 镀 鉻 前 中 网 4 s 店 洗 车 免 费 店 洗 车 免 费 0 6 月 2 9 号 订 车 本 4 s 店 说 1 礼 拜 内 提 车 没 想 天 3 0 号 午 店 里 就 电 话 过 说 车 感 觉 车 快 啊 过 没 时 间 取 现 发 帖 款 车 卖 价 格 值 吗 p s 楼 主 第 1 次 买 车 
50.txt	位 1 3 款 c 5 0 请 进 问 题 请 教 请 问 位 1 3 款 c 5 0 灯 光 亮 吗 近 光 灯 能 照 多 远 远 光 灯 亮 吗 车 近 光 灯 能 2 3 米 远 远 光 灯 根 本 亮 请 问 调 试 呢 
51.txt	昆 明 车 展 优 惠 2 0 0 0 2 0 0 0 礼 包 3 0 0 0 补 贴 工 作 员 默 认 吃 胎 天 车 展 逛 逛 直 奔 关 注 c 5 0 能 见 升 级 版 实 没 展 出 真 正 坐 进 确 实 错 定 决 心 就 实 吃 胎 太 相 信 论 坛 里 说 车 种 东 西 己 喜 欢 己 感 觉 才 重 要 实 没 太 意 合 资 车 种 问 题 实 己 喜 欢 就 说 说 车 展 工 作 员 进 坐 就 进 介 绍 介 绍 挺 问 现 订 车 吗 说 现 暂 时 想 订 年 底 实 经 决 定 就 c 5 0 工 作 员 1 听 现 场 订 车 就 拉 开 门 想 介 绍 就 没 能 工 作 员 专 业 便 提 轮 吃 胎 问 题 会 像 多 专 业 工 作 员 说 会 会 出 多 理 大 概 样 说 嗯 c 5 0 面 太 重 会 没 肯 定 没 否 定 出 知 道 问 题 唉 然 车 友 都 知 道 会 问 题 作 工 作 员 应 默 认 件 事 吃 胎 问 题 貌 似 严 重 奇 怪 展 台 展 出 c 5 0 低 配 觉 展 台 放 高 配 车 1 点 多 数 厂 商 都 样 过 话 说 回 进 1 圈 觉 c 5 0 错 毕 竟 己 喜 欢 管 样 己 喜 欢 东 西 体 验 才 知 道 况 能 缺 点 放 大 c 5 0 优 点 明 显 天 就 位 车 友 分 享 1 天 车 展 感 受 c 5 0 实 己 经 定 决 心 己 现 想 入 手 应 会 年 底 出 意 外 就 c 5 0 想 想 就 激 动 啊 关 车 展 想 问 车 友 都 探 讨 然 昆 明 车 展 规 模 大 车 展 毕 竟 己 家 乡 嘿 嘿 
52.txt	p o l o 1 6 开 空 调 c 怠 速 抖 动 座 椅 都 颤 动 开 没 事 1 1 款 p o l o 开 空 调 怠 速 9 0 0 转 开 空 调 怠 速 没 变 化 车 子 抖 动 开 机 器 盖 发 现 发 动 机 明 显 开 空 调 时 抖 厉 害 要 踩 点 油 门 转 速 保 持 1 0 0 0 就 抖 想 问 问 什 原 啊 压 缩 机 问 题 什 
53.txt	求 助 贴 尚 酷 r 换 挡 异 响 版 主 过 帮 帮 忙 低 速 1 档 升 2 档 2 档 升 3 档 时 咔 咔 声 音 就 像 链 条 松 感 觉 影 响 行 才 1 千 5 百 公 里 声 音 安 静 地 方 听 烦 躁 天 经 4 s 店 查 技 师 懂 什 问 题 经 声 音 录 说 发 厂 家 唉 大 家 碰 过 问 题 吗 求 助 求 助 附 爱 车 照 1 张 
54.txt	感 觉 车 价 高 感 觉 车 价 格 真 点 高 级 车 十 5 万 左 右 多 车 选 择 配 置 要 高 计 划 朗 行 舒 适 型 十 5 万 就 买 k 5 
55.txt	山 东 滨 州 棣 4 s 价 格 高 态 度 差 送 平 板 半 月 p o l o 买 时 候 4 s 店 销 售 员 没 吃 饭 没 睡 醒 1 样 爱 搭 理 价 格 便 宜 7 6 9 手 动 风 尚 送 平 板 本 想 买 2 台 车 结 果 真 没 心 情 买 果 断 擦 肩 8 8 订 2 辆 瑞 纳 
56.txt	0 6 年 1 8 t 帕 萨 特 领 驭 近 油 门 踩 速 度 提 慢 兄 弟 0 6 年 1 8 t 帕 萨 特 领 驭 近 油 门 踩 速 度 提 慢 知 道 什 原 感 觉 油 门 轻 轻 冷 车 刚 启 动 时 候 开 十 公 里 就 感 觉 油 门 轻 速 度 响 应 慢 油 门 踩 底 速 度 慢 悠 悠 飘 1 2 0 左 右 求 原 谢 谢 
57.txt	新 桑 车 主 玻 璃 晃 荡 吗 车 子 1 多 月 真 出 现 哥 说 玻 璃 晃 荡 情 况 副 驾 驶 车 窗 开 半 截 晃 荡 玻 璃 明 显 松 动 关 门 玻 璃 晃 声 音 3 车 窗 没 事 见 1 车 主 发 帖 子 大 家 事 者 回 答 含 糊 想 问 大 家 遇 样 处 理 4 s 外 面 能 修 吗 
58.txt	宝 右 轮 异 响 2 0 1 2 年 8 月 买 宝 手 动 挡 新 车 买 2 月 右 轮 出 现 异 响 步 倒 车 时 4 s 店 修 2 次 右 轮 异 响 宝 右 轮 异 响 吗 样 解 决 谢 谢 
59.txt	迈 腾 仪 表 盘 发 热 什 问 题 迈 腾 仪 表 盘 发 热 什 问 题 求 高 手 指 教 
6.txt	2 0 1 2 c r v 跑 偏 问 题 2 0 1 2 c r v 跑 偏 问 题 位 大 虾 c r v 2 0 1 3 2 月 提 车 现 行 驶 大 概 1 2 0 0 0 公 里 前 跑 偏 问 题 2 保 处 理 1 点 现 开 始 偏 跑 左 大 家 种 情 况 谢 谢 位 
60.txt	逸 改 买 凯 美 瑞 2 0 s 耀 动 版 天 午 将 原 定 逸 改 买 凯 美 瑞 2 0 s 耀 动 版 感 觉 1 启 动 检 时 声 音 1 会 较 大 1 会 知 道 问 题 2 油 门 大 点 突 然 加 速 时 像 点 滑 3 行 驶 过 程 中 加 速 8 0 迈 左 右 时 发 动 机 噪 声 较 大 速 度 过 8 0 噪 声 反 4 做 工 错 材 1 般 5 换 档 平 顺 要 特 感 谢 1 瑞 丰 4 s 销 售 戎 玉 姐 购 车 发 生 故 事 真 心 要 表 扬 1 
61.txt	花 冠 方 指 模 糊 驾 驶 感 变 差 天 走 1 段 烂 路 通 过 1 坑 时 候 方 突 然 感 觉 方 盘 滑 1 样 老 感 觉 方 盘 指 模 糊 驾 驶 感 变 差 没 跑 偏 就 感 觉 方 盘 游 离 缝 隙 大 知 道 故 障 请 老 花 帮 忙 解 答 
62.txt	新 蒙 2 0 t 提 速 0 1 0 0 公 里 7 5 秒 迈 腾 帕 萨 特 等 数 分 析 胜 2 0 t 貌 似 8 3 秒 7 5 8 3 大 概 0 8 秒 差 大 纠 结 提 速 0 8 秒 能 干 什 1 眨 眼 工 夫 
63.txt	4 s 装 路 畅 倒 车 影 像 问 题 本 新 嘉 年 华 动 时 尚 2 厢 购 车 时 任 优 惠 赠 送 1 路 畅 倒 车 影 像 6 月 旬 安 装 具 体 号 忘 记 安 装 倒 方 便 幸 昨 天 偶 然 发 现 中 控 面 板 中 间 按 键 全 部 失 效 倒 车 影 像 触 摸 屏 能 空 调 能 方 便 音 量 键 能 本 怀 疑 电 路 问 题 天 车 开 4 s 店 经 过 4 多 时 检 测 时 间 包 括 午 休 时 间 店 里 告 知 必 须 厂 家 师 傅 能 修 理 店 里 维 修 师 傅 敢 弄 怕 毛 病 弄 成 大 毛 病 结 果 周 末 厂 家 师 傅 休 息 修 本 就 想 利 时 间 空 调 滤 芯 装 4 s 报 价 5 4 空 调 滤 芯 6 0 工 时 费 1 1 4 元 要 等 2 3 时 才 能 安 装 考 装 回 家 郁 闷 啊 白 跑 1 趟 浪 费 1 天 时 间 时 4 s 店 聊 天 时 知 前 嘉 年 华 赠 倒 车 影 像 1 品 牌 客 户 老 反 应 出 问 题 才 整 体 换 路 畅 车 全 市 新 嘉 年 华 第 2 安 装 路 畅 4 s 店 目 前 处 摸 索 阶 段 装 1 倒 车 影 像 需 要 4 时 告 知 第 1 路 畅 品 牌 倒 车 影 像 出 问 题 运 气 真 知 道 没 车 友 遇 1 样 问 题 处 理 敬 请 告 知 谢 谢 
64.txt	天 终 订 车 发 帖 纪 念 购 车 算 跑 多 少 4 s 店 n 多 汽 车 网 站 泡 n 久 论 坛 纠 结 种 候 选 车 型 天 终 订 车 天 搞 什 汽 车 博 览 会 前 死 扛 价 格 终 许 松 动 决 定 定 地 方 没 办 法 买 车 容 易 啊 想 要 多 优 惠 点 更 容 易 2 0 1 3 款 新 嘉 年 华 手 动 时 尚 白 色 3 厢 现 金 优 惠 6 0 0 0 惠 民 补 贴 3 0 0 0 维 修 装 修 基 金 3 0 0 0 坑 爹 4 子 维 修 装 修 基 金 要 装 修 多 就 号 称 原 车 贴 膜 挡 泥 板 要 维 修 必 须 要 店 里 全 险 6 月 效 期 忍 坛 子 里 没 老 乡 啊 天 订 嘉 年 华 4 子 说 提 车 码 要 等 1 2 月 啊 受 鸟 啊 
65.txt	邻 居 说 菲 翔 都 满 意 就 空 调 略 微 够 力 求 广 大 车 友 证 实 提 车 半 年 劲 享 版 近 关 注 菲 翔 准 备 入 手 就 问 哈 感 受 说 车 基 本 都 满 意 动 力 操 控 外 观 都 没 话 说 开 月 正 夏 天 唯 1 感 觉 觉 空 调 制 冷 够 晓 车 友 木 感 受 说 出 准 车 友 1 指 示 撒 谢 谢 外 说 成 都 算 近 期 内 提 车 私 信 约 1 砍 价 经 2 
66.txt	准 备 入 手 海 马 m 3 大 家 价 格 关 注 车 久 天 终 时 间 店 车 海 马 m 3 裸 车 全 系 优 惠 3 0 0 0 大 洋 什 都 没 4 s 貌 似 忙 销 售 没 招 待 问 完 价 格 就 走 
67.txt	x f 换 x j 1 8 寸 大 脚 作 业 本 文 盲 1 组 织 语 言 就 将 就 天 午 提 车 中 午 洗 车 洗 车 行 说 x j 客 户 寄 卖 原 厂 1 8 寸 轮 毂 加 轮 胎 立 刻 兴 趣 顾 才 跑 1 8 公 里 新 1 7 寸 脚 添 点 钱 换 2 手 1 8 寸 脚 废 话 多 说 照 片 然 没 照 张 
68.txt	问 1 纠 结 过 指 南 者 翼 虎 通 知 天 现 车 翼 虎 1 6 风 尚 2 4 炫 黑 想 买 2 4 运 动 说 实 话 配 置 空 间 指 南 者 完 败 坐 里 边 翼 虎 指 南 者 舒 服 就 知 道 4 驱 系 统 底 盘 悬 挂 越 野 就 肯 定 指 南 者 大 神 传 授 心 吗 
69.txt	粗 大 事 景 逸 悦 r s 选 择 粗 大 事 景 逸 悦 r s 选 择 纠 结 呐 知 道 买 外 观 景 逸 顶 弯 老 适 应 悦 先 图 做 工 悦 r s 做 工 实 差 劲 东 风 要 多 关 键 悦 r s 生 锈 内 饰 本 帖 c n 2 0 1 3 0 6 3 0 2 3 1 0 3 8 编 辑 
7.txt	经 忍 受 老 p 7 噪 音 请 大 家 选 胎 经 忍 受 老 p 7 噪 音 请 大 家 选 胎 车 子 高 夫 换 1 7 轮 毂 轮 胎 然 2 2 5 4 5 1 7 换 轮 毂 时 候 作 业 没 做 足 兴 冲 冲 跑 就 换 结 果 j s 忽 悠 老 p 7 真 粪 坑 里 石 头 吵 硬 手 头 米 限 啊 买 款 想 换 舒 适 静 音 请 过 者 经 验 朋 友 出 点 主 意 
70.txt	帝 豪 e c 7 1 5 油 耗 问 题 懂 进 解 答 谢 谢 车 子 公 里 数 显 示 增 加 1 公 里 时 候 油 表 公 里 数 直 接 降 低 3 公 里 回 事 前 会 啊 就 1 次 邮 箱 跳 帧 卡 主 出 现 情 况 新 手 大 家 帮 帮 忙 
71.txt	金 科 铃 木 s x 4 专 塑 钢 护 板 安 装 作 业 发 动 机 护 板 保 护 重 要 部 件 认 种 金 属 护 板 安 全 多 没 共 振 影 响 发 动 机 沉 降 全 覆 盖 设 计 
72.txt	天 语 s x 4 2 厢 低 多 少 钱 啊 主 要 觉 油 耗 错 r t 
73.txt	急 急 急 急 急 急 雨 燕 1 3 跑 2 百 公 里 回 车 速 1 1 0 开 空 调 家 时 像 柴 油 车 声 音 都 舍 采 油 门 问 1 问 车 友 没 感 呀 车 子 问 题 呀 
74.txt	天 佛 山 m g 3 差 点 气 晕 首 先 汽 车 间 现 全 国 活 动 净 车 价 5 6 7 0 0 然 天 试 车 m g 3 服 务 态 度 真 牌 子 车 差 太 多 太 多 前 试 过 奥 拓 服 务 真 非 常 试 完 车 首 先 问 现 否 优 惠 活 动 然 销 售 说 现 包 牌 价 7 2 0 0 0 出 汽 车 家 发 过 说 2 0 0 0 元 改 装 礼 品 送 信 息 然 销 售 说 价 格 里 面 经 减 礼 品 2 0 0 0 元 说 买 裸 车 吗 然 销 售 说 卖 裸 车 找 经 理 落 实 7 1 8 0 0 元 说 车 价 才 5 万 多 牌 要 贵 吗 然 说 减 3 0 0 0 礼 包 6 8 8 0 0 说 没 卖 过 低 价 格 说 太 贵 卖 全 保 吗 低 6 8 8 0 0 外 贷 款 手 续 费 3 0 0 0 元 1 共 7 2 8 0 0 元 说 门 口 挂 5 6 7 0 0 元 活 动 横 幅 没 时 间 没 拆 觉 样 车 商 真 欺 骗 消 费 者 说 优 惠 呢 假 消 息 骗 车 吗 
75.txt	睿 翼 备 箱 锁 坏 前 2 天 海 雨 能 什 地 方 漏 水 导 备 箱 锁 坏 幸 保 内 差 天 出 保 s s s s 换 顺 便 马 达 s u v 要 4 3 w 大 家 会 买 
76.txt	方 机 异 响 2 0 1 0 年 8 月 奇 瑞 5 1 5 现 跑 2 9 公 里 基 本 放 库 里 贵 宾 才 出 1 呵 护 老 婆 就 样 出 毛 病 开 始 步 方 盘 疙 瘩 疙 瘩 声 音 2 保 时 候 4 s 店 师 傅 没 查 出 什 毛 病 近 响 厉 害 步 1 方 盘 就 疙 瘩 疙 瘩 响 找 老 师 傅 方 机 响 说 能 换 新 4 s 点 说 经 过 保 花 7 5 0 元 己 买 晕 菜 3 万 公 里 就 样 奇 瑞 啊 说 爱 呢 请 大 侠 出 注 意 办 方 机 单 卖 吗 球 头 等 件 都 严 密 单 换 方 机 行 吗 
77.txt	终 买 q q 换 前 左 避 震 包 安 装 2 0 0 坑 右 轮 球 套 要 2 6 0 舍 换 除 转 弯 异 响 应 没 什 安 全 隐 患 q q 轮 居 然 没 避 震 2 条 弹 簧 撑 吓 死 
78.txt	瑞 虎 导 航 信 号 断 续 消 失 咋 回 事 前 2 天 发 现 导 航 信 号 异 常 开 机 搜 信 号 次 开 半 时 候 能 搜 卫 星 没 导 1 会 没 前 正 常 突 然 样 什 原 呢 
79.txt	k 5 d l x 价 格 近 想 买 辆 k 5 知 道 d l x 低 优 惠 多 少 嘉 兴 价 格 
8.txt	迎 南 芷 荷 福 克 斯 2 0 1 2 款 2 厢 1 6 t 风 尚 型 车 主 点 评 车 主 对 新 福 克 斯 外 形 内 饰 舒 适 度 安 全 配 置 表 示 高 度 赞 扬 时 对 做 工 表 示 满 动 力 仅 仅 够 油 耗 相 级 车 低 迎 南 芷 荷 福 克 斯 2 0 1 2 款 2 厢 1 6 t 风 尚 型 车 主 点 评 车 主 对 新 福 克 斯 外 形 内 饰 舒 适 度 安 全 配 置 表 示 高 度 赞 扬 时 对 做 工 表 示 满 动 力 仅 仅 够 油 耗 相 级 车 低 
80.txt	2 8 5 0 元 加 装 原 厂 导 航 电 子 狗 倒 车 影 像 合 算 吗 天 1 称 智 跑 原 厂 导 航 代 理 商 常 州 奥 虎 公 司 联 系 说 2 8 5 0 元 加 装 8 寸 原 厂 导 航 电 子 狗 倒 车 影 像 说 会 破 线 保 修 1 年 合 算 吗 值 信 任 截 图 本 帖 晓 风 寒 2 0 1 3 0 6 3 0 2 2 3 9 5 2 编 辑 
81.txt	入 手 1 6 c v t 舒 适 型 终 决 定 入 手 骐 达 低 配 动 挡 价 格 优 惠 1 8 0 0 0 3 0 0 0 节 能 补 贴 全 办 1 1 2 0 0 0 送 底 盘 装 甲 发 动 机 护 甲 封 釉 贴 膜 脚 垫 价 格 吗 本 帖 牌 购 车 2 0 1 3 0 7 0 1 0 0 0 0 1 9 编 辑 
82.txt	骑 骏 没 1 健 锁 门 功 能 才 买 新 车 孩 坐 面 想 车 启 动 就 门 都 锁 样 更 安 全 1 直 都 尝 试 门 全 部 锁 锁 知 道 加 装 动 落 锁 开 童 锁 前 奥 拓 窗 边 按 钮 按 就 全 部 锁 骑 骏 功 能 吗 果 话 按 钮 里 啊 
83.txt	跪 求 广 东 珠 3 角 地 区 4 s 经 典 轩 逸 动 舒 适 版 价 格 请 问 位 大 虾 广 东 珠 3 角 城 市 经 典 轩 逸 动 舒 适 版 落 地 价 1 1 w 5 能 能 开 走 没 办 法 多 米 够 
84.txt	轩 逸 经 典 异 响 轩 逸 经 典 手 动 档 位 兄 弟 姐 妹 车 怠 速 时 变 速 箱 异 响 吗 离 合 器 踩 就 没 
85.txt	逍 客 3 5 0 0 公 里 2 问 题 求 解 近 刚 过 2 保 发 现 车 子 2 问 题 能 算 问 题 问 问 里 高 手 1 车 子 周 开 空 调 异 响 结 果 4 s 店 1 查 叶 子 问 题 现 开 车 车 库 大 部 分 都 区 露 天 车 位 就 知 道 叶 子 进 知 道 问 题 天 出 现 觉 车 子 设 计 缺 陷 2 空 调 关 近 天 热 开 冷 风 前 档 外 部 就 会 雾 什 办 法 关 前 窗 出 风 口 知 道 内 外 温 差 大 出 风 口 要 出 冷 气 就 直 接 窗 肯 定 会 雾 什 办 法 求 高 手 回 复 
86.txt	进 口 旅 行 版 昊 锐 大 脚 国 产 昊 锐 情 堪 啊 搭 配 修 长 车 身 1 套 大 点 轮 毂 必 少 进 口 昊 锐 旅 行 版 选 择 1 7 吋 多 辐 条 样 式 轮 胎 邓 禄 普 s p s p o r t f s t r e s p o n s e 系 列 倍 耐 力 p 7 型 号 2 2 5 4 5 r 1 7 轮 胎 做 基 础 性 能 然 会 差 过 前 写 过 昊 锐 换 胎 测 试 就 明 白 多 朋 友 问 2 2 5 m m 宽 轮 胎 配 昊 锐 合 适 天 进 口 版 车 型 找 案 
87.txt	第 4 次 3 万 公 里 保 养 真 贵 4 保 杭 州 迅 通 做 间 隔 8 月 7 0 0 0 公 里 真 心 贵 2 千 大 洋 工 时 费 预 约 保 养 8 折 1 常 规 保 养 更 换 制 动 液 更 换 火 花 塞 空 调 养 护 6 4 8 介 绍 弟 买 昊 锐 抵 卷 5 0 0 工 时 优 惠 1 2 9 6 实 付 1 8 4 元 配 件 放 油 螺 栓 依 然 坑 爹 2 5 3 4 元 空 气 滤 芯 8 4 5 3 空 调 滤 芯 1 0 2 燃 油 滤 芯 9 7 制 动 液 2 瓶 1 6 9 6 6 空 调 养 护 套 装 2 1 9 1 共 6 9 7 8 元 带 1 共 8 8 6 嘉 实 多 极 护 0 w 4 0 5 瓶 5 0 0 曼 牌 机 滤 1 3 0 冠 军 火 花 塞 2 5 6 总 共 花 6 4 8 6 9 7 8 8 8 6 2 2 3 1 8 实 付 约 1 5 5 0 奥 迪 贵 己 边 保 养 明 天 照 片 顺 便 说 电 瓶 负 极 腐 蚀 正 极 电 瓶 没 亏 电 过 状 态 想 涂 硅 胶 处 理 1 现 n 档 瞬 时 油 耗 0 7 杭 州 回 平 均 油 耗 6 2 表 现 
88.txt	晶 锐 想 换 轮 胎 帮 忙 推 荐 晶 锐 1 6 晶 享 胎 钉 子 扎 过 内 鼓 包 想 换 4 轮 胎 大 家 帮 忙 推 荐 物 美 价 廉 轮 胎 价 格 大 概 6 百 左 右 1 种 谢 谢 
89.txt	关 柯 收 音 机 请 教 位 柯 友 收 音 机 效 果 吗 柯 收 音 机 实 语 就 本 地 都 杂 音 大 动 搜 索 根 本 收 台 知 道 收 音 机 没 搞 对 本 身 问 题 请 教 大 家 感 谢 
9.txt	2 0 1 3 君 威 g s 出 现 变 速 箱 过 热 2 0 1 3 君 威 g s 出 现 变 速 箱 过 热 年 新 买 君 威 g s 刚 做 玩 首 保 目 前 里 程 数 7 2 0 0 公 里 近 跑 次 长 途 出 现 变 速 箱 过 热 警 示 然 边 停 1 会 警 示 消 失 就 继 续 走 木 样 问 题 求 详 解 
90.txt	手 动 档 朗 动 技 术 问 题 手 动 档 朋 友 请 回 答 什 手 动 档 6 档 5 档 走 高 速 时 速 度 1 2 0 稳 样 速 度 1 2 0 6 档 跑 样 路 什 感 觉 车 子 发 飘 手 要 力 抓 住 方 总 感 觉 左 右 会 动 5 档 时 就 会 
91.txt	关 科 鲁 兹 颜 色 问 题 本 定 科 鲁 兹 颜 色 没 选 喜 欢 白 色 金 属 漆 听 说 珍 珠 白 珍 珠 白 金 属 漆 吗 果 白 色 保 养 开 过 3 年 白 什 变 化 家 里 建 议 买 黑 色 纠 结 啊 
92.txt	开 空 调 怠 速 抖 动 空 调 继 电 器 频 繁 吸 合 0 7 年 1 2 月 1 4 富 康 开 空 调 怠 速 时 候 转 速 表 9 0 0 转 1 千 5 百 转 间 抖 动 空 调 吸 合 就 快 断 开 然 吸 合 断 重 复 过 程 大 家 讲 讲 什 问 题 外 康 碳 罐 吗 刚 找 组 织 心 情 激 动 啊 太 喜 欢 富 康 线 条 造 型 买 才 发 现 操 控 捷 达 轴 太 普 桑 操 控 感 关 门 声 音 钣 金 什 觉 康 改 甲 醇 发 动 机 声 音 低 沉 听 许 多 感 觉 劲 烧 纯 汽 油 大 1 点 控 制 器 动 甲 醇 汽 油 便 加 挺 方 便 麻 烦 高 手 2 问 题 赐 教 谢 谢 经 常 发 帖 分 享 康 感 受 
93.txt	天 4 s 做 出 保 前 检 查 花 2 5 0 0 元 维 修 费 车 2 0 1 1 年 7 月 份 买 年 7 月 份 满 2 年 天 约 4 s 店 做 出 保 前 检 查 没 什 问 题 保 修 范 围 内 需 要 维 修 维 修 顾 问 检 查 前 告 诉 满 2 年 需 要 换 制 动 液 刹 车 油 保 修 手 册 确 实 标 明 7 0 0 元 本 就 o k 没 想 检 查 1 时 告 知 4 刹 车 片 都 要 换 开 1 8 0 0 0 公 里 就 需 要 换 刹 车 片 然 觉 点 思 议 换 外 加 底 盘 轮 胎 螺 丝 等 等 问 题 维 修 费 合 计 将 近 2 5 0 0 元 汽 车 维 修 事 情 懂 没 指 责 4 s 店 意 思 觉 维 修 费 真 点 高 外 想 问 问 车 友 刹 车 片 都 多 少 公 里 时 换 啊 4 s 店 工 作 员 说 c 5 刹 车 片 偏 软 车 重 刹 车 片 较 容 易 磨 损 过 1 8 0 0 0 公 里 就 换 刹 车 片 点 短 本 帖 y u x u 1 9 8 5 0 4 0 3 2 0 1 3 0 7 0 1 1 7 2 0 5 4 编 辑 
94.txt	请 教 1 位 轮 内 侧 2 边 漏 水 问 题 车 开 多 昨 天 北 京 雨 天 出 门 车 1 分 钟 左 右 走 时 候 发 现 地 2 滩 水 没 分 辨 油 水 觉 水 没 开 空 调 就 车 时 候 开 1 然 风 吹 吹 百 度 1 说 备 箱 进 水 漏 说 排 气 管 出 水 口 漏 v 5 没 出 水 口 像 能 1 次 2 边 都 出 水 说 雨 水 顺 备 箱 外 面 流 底 盘 位 置 流 出 希 望 结 果 请 教 位 大 侠 里 漏 弟 新 车 
95.txt	前 天 发 帖 新 车 撞 差 点 送 命 原 车 门 防 撞 杆 救 汽 车 受 侧 面 撞 击 时 车 门 容 易 受 冲 击 变 形 直 接 伤 害 车 内 乘 员 提 高 汽 车 安 全 性 能 少 汽 车 公 司 就 汽 车 2 侧 门 夹 层 中 间 放 置 1 2 根 非 常 坚 固 钢 梁 就 常 说 侧 门 防 撞 杆 防 撞 杆 防 撞 作 侧 门 受 撞 击 时 坚 固 防 撞 杆 能 大 大 减 轻 侧 门 变 形 程 度 能 减 少 汽 车 撞 击 对 车 内 乘 员 伤 害 买 动 运 动 没 侧 气 囊 幸 亏 事 建 议 购 买 v 5 者 选 择 动 豪 华 本 帖 g d l g u o 2 0 1 3 0 6 3 0 2 3 1 1 1 3 编 辑 
96.txt	许 多 消 费 者 对 手 机 维 修 期 间 要 运 营 商 付 费 表 示 满 认 合 理 专 家 提 醒 商 家 送 话 费 等 套 餐 活 动 捆 绑 销 售 手 机 应 视 作 合 格 商 品 应 单 开 手 机 发 票 保 修 卡 按 照 合 法 规 定 赠 予 附 义 务 限 度 内 承 担 出 卖 相 责 任 手 机 维 修 期 间 建 议 运 营 企 业 消 费 者 发 放 替 代 手 机 采 取 暂 停 收 费 空 调 存 问 题 制 热 制 冷 效 果 差 室 内 机 滴 水 噪 音 大 安 装 位 售 服 务 时 销 售 商 生 产 单 位 夸 大 宣 传 专 家 提 醒 目 前 国 南 方 地 区 大 多 热 泵 型 空 调 对 类 空 调 国 家 标 准 规 定 良 运 行 外 机 环 境 温 度 5 摄 氏 度 
